match_id,season,team,playing_xi
1370353,2023,Chennai Super Kings,"['RD Gaikwad', 'DP Conway', 'S Dube', 'AM Rahane', 'AT Rayudu', 'MS Dhoni', 'RA Jadeja', 'MM Ali', 'DL Chahar', 'M Pathirana', 'TU Deshpande', 'M Theekshana']"
1254094,2021,Chennai Super Kings,"['RD Gaikwad', 'F du Plessis', 'MM Ali', 'RV Uthappa', 'AT Rayudu', 'MS Dhoni', 'RA Jadeja', 'DJ Bravo', 'DL Chahar', 'SN Thakur', 'JR Hazlewood']"
1254094,2021,Punjab Kings,"['KL Rahul', 'MA Agarwal', 'SN Khan', 'M Shahrukh Khan', 'AK Markram', 'MC Henriques', 'CJ Jordan', 'Harpreet Brar', 'Ravi Bishnoi', 'Mohammed Shami', 'Arshdeep Singh']"
1359481,2023,Delhi Capitals,"['KK Ahmed', 'DA Warner', 'PP Shaw', 'MR Marsh', 'SN Khan', 'RR Rossouw', 'Abishek Porel', 'AR Patel', 'Aman Hakim Khan', 'Kuldeep Yadav', 'A Nortje', 'Mukesh Kumar']"
1359481,2023,Gujarat Titans,"['J Little', 'WP Saha', 'Shubman Gill', 'B Sai Sudharsan', 'HH Pandya', 'V Shankar', 'DA Miller', 'R Tewatia', 'Rashid Khan', 'AS Joseph', 'Yash Dayal', 'Mohammed Shami']"
597999,2013,Royal Challengers Bangalore,"['CH Gayle', 'TM Dilshan', 'V Kohli', 'MA Agarwal', 'DT Christian', 'KK Nair', 'KB Arun Karthik', 'R Vinay Kumar', 'M Kartik', 'JD Unadkat', 'M Muralitharan']"
597999,2013,Mumbai Indians,"['RT Ponting', 'SR Tendulkar', 'KD Karthik', 'RG Sharma', 'AT Rayudu', 'KA Pollard', 'Harbhajan Singh', 'JJ Bumrah', 'MG Johnson', 'JDP Oram', 'MM Patel']"
598046,2013,Mumbai Indians,"['DR Smith', 'SR Tendulkar', 'KD Karthik', 'KA Pollard', 'RG Sharma', 'AT Rayudu', 'Harbhajan Singh', 'MG Johnson', 'SL Malinga', 'PP Ojha', 'P Suyal']"
598046,2013,Chennai Super Kings,"['MEK Hussey', 'M Vijay', 'SK Raina', 'S Badrinath', 'DJ Bravo', 'R Ashwin', 'MS Dhoni', 'RA Jadeja', 'CH Morris', 'MM Sharma', 'B Laughlin']"
1312200,2022,Rajasthan Royals,"['YBK Jaiswal', 'JC Buttler', 'SV Samson', 'D Padikkal', 'SO Hetmyer', 'R Ashwin', 'R Parag', 'TA Boult', 'OC McCoy', 'M Prasidh Krishna', 'YS Chahal']"
